id,string1,string2,distance,similarity,substring
7114027,PRIVATE CLOUD APPLIANCE X6-2  UPGRADE SERVER,PRIVATE CLOUD APPLIANCE X6-2: UPGRADE SE,5,0.886363636363636,28
PRE52680V414C-2,HCIA PROC E5-2680 V4 14C 2.4GHZ 2ND,=>>HCIA PROC E5-2680,21,0.4,17
PRE52650V412C22,HCIA PROC E5-2650 V4 12C 2.2GHZ 1ST,=>>HCIA PROC E5-2650 V4,18,0.485714285714286,20
7113257,Oracle Server X6-2L: model family,ORACLE SERVER X6-2L: MODEL FAMILY,21,0.363636363636364,8
671137-001,PCA QUADO 4000 2GB PCI-E,671137-001-PCA Quado 4000 2GB PCI-e,16,0.542857142857143,14
PRE52660V414C-2,HCIA PROC E5-2660 V4 14C 2.0GHZ 2ND,=>>HCIA PROC E5-2660 V4,18,0.485714285714286,20
PRE52660V414C20,HCIA PROC E5-2660 V4 14C 2.0GHZ 1ST,=>>HCIA PROC E5-2660 V4,18,0.485714285714286,20
PRE52660V414C20,HCIA PROC E5-2660 V4 14C 2.0GHZ 1ST,=>>HCIA PROC E5-2660 V4,18,0.485714285714286,20
PRE52660V414C-2,HCIA PROC E5-2660 V4 14C 2.0GHZ 2ND,=>>HCIA PROC E5-2660 V4,18,0.485714285714286,20
PRE52650V412C22,HCIA PROC E5-2650 V4 12C 2.2GHZ 1ST,=>>HCIA PROC E5-2650 V4,18,0.485714285714286,20
7113252,Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm,Oracle Server X6-2: 1 RU base chassis wi,64,0.353535353535353,19
7113252,Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm,Oracle Server X6-2: 1 RU base chassis wi,64,0.353535353535353,19
7113252,Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm,Oracle Server X6-2: 1 RU base chassis wi,64,0.353535353535353,19
7113252,Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm,Oracle Server X6-2: 1 RU base chassis wi,64,0.353535353535353,19
7113252,Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm,Oracle Server X6-2: 1 RU base chassis wi,64,0.353535353535353,19
7113252,Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm,Oracle Server X6-2: 1 RU base chassis wi,64,0.353535353535353,19
7113252,Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm,Oracle Server X6-2: 1 RU base chassis wi,64,0.353535353535353,19
7113252,Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm,Oracle Server X6-2: 1 RU base chassis wi,64,0.353535353535353,19
7113252,Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm,Oracle Server X6-2: 1 RU base chassis wi,64,0.353535353535353,19
7113252,Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm,Oracle Server X6-2: 1 RU base chassis wi,64,0.353535353535353,19
7113252,Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm,Oracle Server X6-2: 1 RU base chassis wi,64,0.353535353535353,19
7113252,Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm,Oracle Server X6-2: 1 RU base chassis wi,64,0.353535353535353,19
7113252,Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm,Oracle Server X6-2: 1 RU base chassis wi,64,0.353535353535353,19
PRE52660V414C-2,HCIA PROC E5-2660 V4 14C 2.0GHZ 2ND,=>>HCIA PROC E5-2660 V4,18,0.485714285714286,20
PRE52660V414C20,HCIA PROC E5-2660 V4 14C 2.0GHZ 1ST,=>>HCIA PROC E5-2660 V4,18,0.485714285714286,20
7111942,Oracle FS Pilot with 2 Oracle Server X5-,ORACLE FS PILOT WITH 2 ORACLE SERVER X5-2,24,0.414634146341463,5
D:PF-VSAN-SOL-ID,=>>PRIMEFLEX FOR VMWARE VSAN SOL,FUJITSU VMW VSAN 6.2 ADV for 1 CPU,30,0.117647058823529,6
D:PF-VSAN-SOL-ID,=>>PRIMEFLEX FOR VMWARE VSAN SOL,PRIMEFLEX FOR VMWARE,12,0.625,20
D:PF-VSAN-SOL-ID,=>>PRIMEFLEX FOR VMWARE VSAN SOL,PRIMEFLEX FOR VMWARE VSAN SOL ID - D:PF-VSAN-SOL-ID,25,0.509803921568627,29
7111942,ORACLE FS PILOT WITH 2 ORACLE SERVER X5-,ORACLE FS PILOT WITH 2 ORACLE SERVER X5-2,1,0.975609756097561,40
PRE52620V408C-2,HCIA PROC E5-2620 v4 8C 2.1GHZ 2ND,HCIA PROC E5-2620 V4 8C 2.1GHZ 2ND,1,0.970588235294118,18
PRE52620V408C21,HCIA PROC E5-2620 v4 8C 2.1GHZ 1ST,HCIA PROC E5-2620 V4 8C 2.1GHZ 1ST,1,0.970588235294118,18
PRE52650V412C22,HCIA PROC E5-2650 V4 12C 2.2GHZ 1ST,=>>HCIA PROC E5-2650 V4,18,0.485714285714286,20
7114026,Private Cloud Appliance X62: server (for factory installation),BTO Exadata X6-2 NIC RM,54,0.129032258064516,3
B72650,Oracle Standard Software Installation & Configuration for Systems Service: Oracle ZFS Backup Appliance,ORACLE STANDART SW ISTALLATION AND CONFIGURATION,90,0.117647058823529,2
7111942,Oracle FS Pilot with 2 Oracle Server X5-2 (for factory installation),ORACLE FS PILOT WITH 2 ORACLE SERVER X5-2,50,0.264705882352941,5
7110837,Oracle SuperCluster M7: server with 4 processors (for factory installation),ORACLE SUPERCLUSTER M7: ONE M7-8 CHASSIS WITH 4,62,0.173333333333333,5
7113335,Exadata Database Machine X6-2 HC Half Rack,EXADATA DATABASE MACHINE X6-2 HC HALF RACK,25,0.404761904761905,10
7113954,Oracle HW Zero Data Loss Recovery Appl X6 Storage Svr,ZERO DATA LOSS RECOVERY APPLIANCE X6 STO,42,0.207547169811321,5
7114026,Private Cloud Appliance X62: server (for factory installation),BTO Exadata X6-2 NIC RM,54,0.129032258064516,3
7114026,Private Cloud Appliance X62: server (for factory installation),BTO Exadata X6-2 NIC RM,54,0.129032258064516,3
7114027,Private Cloud Appliance X6-2: upgrade server,PRIVATE CLOUD APPLIANCE X6-2: UPGRADE SE,31,0.295454545454545,7
7111942,Oracle FS Pilot with 2 Oracle Server X5-2 (for factory installation),ORACLE FS PILOT WITH 2 ORACLE SERVER X5-2,50,0.264705882352941,5
7114026,Private Cloud Appliance X62: server (for factory installation),BTO Exadata X6-2 NIC RM,54,0.129032258064516,3
7114027,Private Cloud Appliance X6-2: upgrade server,PRIVATE CLOUD APPLIANCE X6-2: UPGRADE SE,31,0.295454545454545,7
7114027,Private Cloud Appliance X6-2: upgrade server,PRIVATE CLOUD APPLIANCE X6-2: UPGRADE SE,31,0.295454545454545,7
L104811,Oracle Database In-Memory for Exalytics NUP,Oracle Exalytics In-Memory Software Lic,22,0.488372093023256,11
7113296,Exadata Database Machine X6-2: model family,:UGAP:ORACLE Exadata Databa Machine X6-2,29,0.325581395348837,14
7114026,Private Cloud Appliance X62: server (for factory installation),BTO Exadata X6-2 NIC RM,54,0.129032258064516,3
7110252,Ora ORACLE Database Appliance X5-2,ORACLE DATABASE APPLIANCE X5-2,19,0.441176470588235,8
7110252,Ora ORACLE Database Appliance X5-2,Oracle Database Appliance X5-2,7,0.794117647058824,24
7113342,ORACLE Exadata Database Server X6-2 plus,BTO Exadata X6-2 NIC RM,28,0.3,9
7113342,ORACLE Exadata Database Server X6-2 plus,EXADATA DATABASE SERVER X6-2 PLUS INFINI,36,0.1,6
7113342,ORACLE Exadata Database Server X6-2 plus,Exadata Database Server X6-2 plus Infiniband Infrastructure (for field installation),58,0.30952380952381,33
7113296,:UGAP:ORACLE Exadata Database Machine X6,:UGAP:ORACLE Exadata Databa Machine X6-2,4,0.9,27
7113954,ZERO DATA LOSS RECOVERY APPLIANCE X6 STORAGE,ZERO DATA LOSS RECOVERY APPLIANCE X6 STO,4,0.909090909090909,40
PRE52620V408C-2,HCIA PROC E5-2620 v4 8C 2.1GHZ 2ND,HCIA PROC E5-2620 V4 8C 2.1GHZ 2ND,1,0.970588235294118,18
PRE52620V408C21,HCIA PROC E5-2620 v4 8C 2.1GHZ 1ST,HCIA PROC E5-2620 V4 8C 2.1GHZ 1ST,1,0.970588235294118,18
PRE52680V414C-2,HCIA PROC E5-2680 v4 14C 2.4GHZ 2ND,=>>HCIA PROC E5-2680,21,0.4,17
7114026,PRIVATE CLOUD APPLIANCE X6-2: SERVER (FO,BTO Exadata X6-2 NIC RM,30,0.25,5
7113252,Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm,Oracle Server X6-2: 1 RU base chassis wi,64,0.353535353535353,19
7113252,Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm,Oracle Server X6-2: 1 RU base chassis wi,64,0.353535353535353,19
7113252,Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm,Oracle Server X6-2: 1 RU base chassis wi,64,0.353535353535353,19
7114027,Private Cloud Appliance X6-2: upgrade server,PRIVATE CLOUD APPLIANCE X6-2: UPGRADE SE,31,0.295454545454545,7
7114026,Private Cloud Appliance X62: server (for factory installation),BTO Exadata X6-2 NIC RM,54,0.129032258064516,3
7114026,Private Cloud Appliance X62: server (for factory installation),BTO Exadata X6-2 NIC RM,54,0.129032258064516,3
B72650,Oracle Standard Software Installation & Configuration for Systems Service: Oracle ZFS Backup Appliance,ORACLE STANDART SW ISTALLATION AND CONFIGURATION,90,0.117647058823529,2
B72650,Oracle Standard Software Installation & Configuration for Systems Service: Oracle ZFS Backup Appliance,ORACLE STANDART SW ISTALLATION AND CONFIGURATION,90,0.117647058823529,2
B86810,Oracle Database Exadata Express Cloud Service - X50IM - Hosted Enviroment 1Yr,ORACLE DATABASE EXADATA EXPRESS CLOUD SE,65,0.155844155844156,2
B72650,Oracle Standard Software Installation & Configuration for Systems Service: Oracle ZFS Backup Appliance,ORACLE STANDART SW ISTALLATION AND CONFIGURATION,90,0.117647058823529,2
7114026,Private Cloud Appliance X62: server (for factory installation),BTO Exadata X6-2 NIC RM,54,0.129032258064516,3
7113252,Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm,Oracle Server X6-2: 1 RU base chassis wi,64,0.353535353535353,19
B72650,Oracle Standard Software Installation & Configuration for Systems Service: Oracle ZFS Backup Appliance,ORACLE STANDART SW ISTALLATION AND CONFIGURATION,90,0.117647058823529,2
7113252,Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm,Oracle Server X6-2: 1 RU base chassis wi,64,0.353535353535353,19
B86810,Oracle Database Exadata Express Cloud Service - X50IM - Hosted Enviroment 1Yr,ORACLE DATABASE EXADATA EXPRESS CLOUD SE,65,0.155844155844156,2
PRE52680V414C-2,HCIA PROC E5-2680 V4 14C 2.4GHZ 2ND,=>>HCIA PROC E5-2680,21,0.4,17
PRE52650V412C22,HCIA PROC E5-2650 V4 12C 2.2GHZ 1ST,=>>HCIA PROC E5-2650 V4,18,0.485714285714286,20
PRE52680V414C-2,HCIA PROC E5-2680 v4 14C 2.4GHZ 2ND,=>>HCIA PROC E5-2680,21,0.4,17
PRE52660V414C-2,HCIA PROC E5-2660 V4 14C 2.0GHZ 2ND,=>>HCIA PROC E5-2660 V4,18,0.485714285714286,20
PRE52660V414C20,HCIA PROC E5-2660 V4 14C 2.0GHZ 1ST,=>>HCIA PROC E5-2660 V4,18,0.485714285714286,20
7114027,Private Cloud Appliance X6-2: upgrade server,PRIVATE CLOUD APPLIANCE X6-2: UPGRADE SE,31,0.295454545454545,7
7113252,Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm,Oracle Server X6-2: 1 RU base chassis wi,64,0.353535353535353,19
7113252,Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm,Oracle Server X6-2: 1 RU base chassis wi,64,0.353535353535353,19
7113252,ORACLE SERVER X6-2: 1 RU BASE CHASSIS WI,Oracle Server X6-2: 1 RU base chassis wi,23,0.425,12
7114026,Private Cloud Appliance X62: server (for factory installation),BTO Exadata X6-2 NIC RM,54,0.129032258064516,3
B72650,Oracle Standard Software Installation & Configuration for Systems Service: Oracle ZFS Backup Appliance,ORACLE STANDART SW ISTALLATION AND CONFIGURATION,90,0.117647058823529,2
7114138,Oracle Database Appliance X6-2M: model family,ORA Database Appliance X6-2M: model f,10,0.777777777777778,34
7114138,Oracle Database Appliance X6-2M: model family,ORACLE DATABASE APPLIANCE X6-2M: MODEL F,31,0.311111111111111,8
7114138,Oracle Database Appliance X6-2M: model family,Oracle Database Appliance X6-2M: model f,5,0.888888888888889,40
7113206,Oracle Server X6-2: model familyList 0 CATZ,ORACLE SERVER X6-2: MODEL FAMILY,31,0.279069767441861,7
7113206,Oracle Server X6-2: model familyList 0 CATZ,Oracle Server X6-2: model family,11,0.744186046511628,32
PRE52650V412C22,HCIA PROC E5-2650 V4 12C 2.2GHZ 1ST,=>>HCIA PROC E5-2650 V4,18,0.485714285714286,20
PRE52650V412C22,HCIA PROC E5-2650 V4 12C 2.2GHZ 1ST,=>>HCIA PROC E5-2650 V4,18,0.485714285714286,20
7113296,Exadata Database Machine X6-2: model fam,:UGAP:ORACLE Exadata Databa Machine X6-2,26,0.35,14
7113962,Exadata Database Machine X6-2: Oracle En,EXADATA DATABASE MACHINE X6-2: ORACLE EN,25,0.375,8
7113962,Exadata Database Machine X6-2: Oracle En,EXADATA MACHINE X6-2: ORACLE ENTERPRISE LINUX,40,0.111111111111111,8
7113962,Exadata Database Machine X6-2: Oracle En,Oracle Enterprise Linux software image,33,0.175,9
7116341,EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY,BTO Exadata X7-2 Database Machine,37,0.13953488372093,6
7116341,EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY,EXADATA DATABASE MACHINE X7-2 HIGH CAPAC,3,0.930232558139535,40
7116341,EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY,Exadata Database Machine X7-2 High Capac,29,0.325581395348837,7
7116341,EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY,Oracle Exadata Database Machine X7-2 Hig,38,0.116279069767442,7
7116341,EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY,Oracle Exadata Database Machine X7-2 High Capacity (HC) Quarter Rack with two 384 GB DB,72,0.172413793103448,7
7116343,EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY (HC),BTO Exadata X7-2 Database Machine,39,0.1875,6
7116343,EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY (HC),Exadata Database Machine X7-2 HC 8 rack,34,0.291666666666667,7
7116343,EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY (HC),EXADATA DATABASE MACHINE X7-2 HIGH CAPAC,8,0.833333333333333,40
7116343,EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY (HC),Oracle Exadata Database Machine X7-2 Hig,43,0.104166666666667,7
7116343,EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY (HC),Oracle Exadata Database Machine X7-2 High Capacity (HC) Eighth Rack,48,0.283582089552239,7
7119080,EXADATA DATABASE SERVER X7-2 WITH 768 GB,BTO Exadata X7-2 786432 NIC,31,0.225,6
7113252,ORACLE SERVER X6-2: 1 RU BASE CHASSIS WI,Oracle Server X6-2: 1 RU base chassis wi,23,0.425,12
INFR-Q287-00-A01,SIDE PANELIPIVXBLOCK,Side Panel IPI VxBLOCK branded BLK,22,0.352941176470588,5
INFR-Q287-00-A01,SIDE PANELIPIVXBLOCK,VCE. Side Panel  IPI  VxBLOCK branded  BLK,30,0.285714285714286,5
PSVC-VFDB-00-A03,VCE DEPLOY   VXBLOCK SYSTEM,VCE. VCE Deploy – VxBlock System – Per Rack,32,0.255813953488372,5
INFR-Q285-00-C01,LED DOOR BRND IPI VXBLOCK BLK,VCE. LED Door BRND IPI VxBLOCK BLK DELL-EMC,18,0.581395348837209,11
PSVC-VFDA-00-A03,VCE DEPLOY   VXBLOCK SYSTEM,VCE. VCE Deploy – VxBlock System – Base,28,0.282051282051282,5
PRE52680V414C-2,HCIA PROC E5-2680 v4 14C 2.4GHZ 2ND,=>>HCIA PROC E5-2680,21,0.4,17
PRE52620V408C21,CS/HCIA PROC E5-2620 V4 8C 2.1GHZ 1ST,HCIA PROC E5-2620 V4 8C 2.1GHZ 1ST,3,0.918918918918919,34
PRE52637V404C35,HCIA PROC E5-2637 V4 4C 3.5GHZ 1ST,HCIA PROC E5-2637 v4 4C 3.5GHZ 1ST,1,0.970588235294118,18
PRE52637V404C-2,HCIA PROC E5-2637 V4 4C 3.5GHZ 2ND,HCIA PROC E5-2637 v4 4C 3.5GHZ 2ND,1,0.970588235294118,18
7117433,Oracle Database Appliance X7 memory expa,Oracle Database Appliance X7,12,0.7,28
7117433,Oracle Database Appliance X7 memory expa,Oracle MÃ©moire 192Go : 6*32Go,29,0.275,7
PRE52680V414C-2,HCIA PROC E5-2680 v4 14C 2.4GHZ 2ND,=>>HCIA PROC E5-2680,21,0.4,17
PRE52660V414C-2,EMC. HCIA PROC E5-2660 V4 14C 2.0GHZ 2ND,=>>HCIA PROC E5-2660 V4,20,0.5,20
PRE52660V414C20,EMC. HCIA PROC E5-2660 V4 14C 2.0GHZ 1ST,=>>HCIA PROC E5-2660 V4,20,0.5,20
PR6142GD16C26AF,VxRail-500 Intel CPU 6142 16C 2.6 GHz AF,VXRAIL-500 INTEL CPU 6142 16C 2,17,0.575,15
PR6142GD16C26AF,VxRail-500 Intel CPU 6142 16C 2.6 GHz AF,VXRAIL 500 Flash Drive Array,31,0.225,4
PR6142GD16C26AF-2,VxRail-500IntelCPU 6142 16C 2.6 GHz2ndAF,VXRAIL-500INTELCPU 6142 16C 2.6,17,0.575,16
INFR-Q287-00-A01,SIDE PANEL IPI VXBLOCK,Side Panel IPI VxBLOCK branded BLK,20,0.411764705882353,6
INFR-Q287-00-A01,SIDE PANEL IPI VXBLOCK,VCE. Side Panel  IPI  VxBLOCK branded  BLK,28,0.333333333333333,5
INFR-Q285-00-A01,LED DOOR BRANDING IPI VXBLOCK,LED Door branding IPI VxBLOCK BLK TM,19,0.472222222222222,6
INFR-Q285-00-A01,LED DOOR BRANDING IPI VXBLOCK,VCE. VxBLOCK 700mm LED front door branding,35,0.166666666666667,5
DELLE-PR6140GD18C23A,VXRAIL-500 INTEL CPU 6140 18C 2.3 GHZ AF,VXRAIL-500 UNITED KINGDOM SHIPMOD F,23,0.425,11
PR6126GD12C26,VXRAIL-500 INTEL CPU 6126 12C 2.6 GHZ H,VXRAIL 500 Xeon Gold/6126/2.6GHz Flash Drive Array,33,0.34,6
PR5115GD10C24,VXRAIL-500 INTEL CPU 5115 10C 2.4 GHZ H,VXRAIL-500 INTEL CPU 5115 10C 2.4 G,4,0.897435897435897,35
7113252,Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm,Oracle Server X6-2: 1 RU base chassis wi,64,0.353535353535353,19
PR6134GD8C32AF,VxRail-500 Intel CPU 6134 8C 3.2 GHz AF,VXRAIL 500 Flash Drive Array,30,0.230769230769231,4
PRE52680V414C-2,HCIA PROC E5-2680 v4 14C 2.4GHZ 2ND,=>>HCIA PROC E5-2680,21,0.4,17
PR4110SV8C21,VxRail-500 Intel CPU 4110 8C 2.1 GHz H,VXRAIL-500 INTEL CPU 4110 8C 2,16,0.578947368421053,14
PR4110SV8C21-2,VxRail-500 Intel CPU 4110 8C 2.1GHz2ndH,VXRAIL-500 INTEL CPU 4110 8C 2,17,0.564102564102564,14
PRE52650V412C22,HCIA PROC E5-2650 v4 12C 2.2GHZ 1ST,=>>HCIA PROC E5-2650 V4,19,0.457142857142857,18
7117433,Oracle Database Appliance X7 memory expa,Oracle Database Appliance X7,12,0.7,28
7117433,Oracle Database Appliance X7 memory expa,Oracle MÃ©moire 192Go : 6*32Go,29,0.275,7
PRE52680V414C-2,HCIA PROC E5-2680 V4 14C 2.4GHZ 2ND,=>>HCIA PROC E5-2680,21,0.4,17
7117433,Oracle Database Appliance X7 mem expan.,Oracle Database Appliance X7,11,0.717948717948718,28
7117433,Oracle Database Appliance X7 mem expan.,Oracle MÃ©moire 192Go : 6*32Go,28,0.282051282051282,7
210-AEIH,"Dell XC630 for Hyper-V XC630-10 PowerEdge R630 Motherboard MLK Intel Xeon E5-2680 v4 2.4GHz,35M Cache,9.60GT/s QPI,Turbo",Dell XC630 for Hyper V,99,0.175,20
7117433,Oracle Database Appliance X7 memory expa,Oracle Database Appliance X7,12,0.7,28
7117433,Oracle Database Appliance X7 memory expa,Oracle MÃ©moire 192Go : 6*32Go,29,0.275,7
PR6140GD18C23,VXRAIL-500 INTEL CPU 6140 18C 2.3 GHZ H,VXRAIL 500 Xeon18C/Gold 6140/2.3GHz Flash Drive Array,34,0.358490566037736,6
PR6134GD8C32AF,VXRAIL-500 INTEL CPU 6134 8C 3.2 GHZ AF,VXRAIL 500 Flash Drive Array,27,0.307692307692308,6
PR6134GD8C32AF,VxRail-500 Intel CPU 6134 8C 3.2 GHz AF,VXRAIL 500 Flash Drive Array,30,0.230769230769231,4
PR5115GD10C24,VXRAIL-500 INTEL CPU 5115 10C 2.4 GHZ H,VXRAIL-500 INTEL CPU 5115 10C 2.4 G,4,0.897435897435897,35
Q9J75A,OMNISTACK 16-22C,OmniStack 16-22c 1P Small SW/Promo,26,0.235294117647059,6
Q8D87A,SIMPLIVITY 384G,=>>>HPE SIMPLIVITY 384G 12DIMM FIO,19,0.441176470588235,15
Q8D87A,SIMPLIVITY 384G,HPE SIMPLIVITY 384G 12 DIMM,12,0.555555555555556,15
Q8C90A,HPE HPE NS CS700 Hybrid Fld,HPE NS CS700 HYBRID FLD UPGR,16,0.428571428571429,14
PR4110SV8C21,VxRail-500 Intel CPU 4110 8C 2.1 GHz H,VXRAIL-500 INTEL CPU 4110 8C 2,16,0.578947368421053,14
PR4110SV8C21-2,VxRail-500 Intel CPU 4110 8C 2.1GHz2ndH,VXRAIL-500 INTEL CPU 4110 8C 2,17,0.564102564102564,14
804943R-B21,=>>>HPE SY 12000 FRAME 4X REMAN LIF,HPE SY 12000 FRAME 4X REMAN,8,0.771428571428571,27
798096R-B21,=>>>HPE SYNERGY 12000F 6X 2650W AC,HPE SYNERGY 12000F 6X 2650W AC,4,0.882352941176471,30
798096R-B21,=>>>HPE SYNERGY 12000F 6X 2650W AC,HPE Synergy 12000F 6x 2650W AC Reman (P),21,0.475,9
798096R-B21,=>>>HPE SYNERGY 12000F 6X 2650W AC,HPE SYNERGY 12000F 6X 2650W AC REMAN PS,13,0.666666666666667,30
798096R-B21,=>>>HPE SYNERGY 12000F 6X 2650W AC,HPE Synergy 12000F 6x 2650W AC Reman PS,20,0.487179487179487,9
798096R-B21,=>>>HPE SYNERGY 12000F 6X 2650W AC,SYNERGY 12000F 6X 2650W AC PS,11,0.676470588235294,26
867158-B21,HPE Apollo r2600 Gen10 24 SFF Premium Configure-to,HPE Apollo r2600 Gen10 24 SFF Premium Co,10,0.8,40
867158-B21,HPE Apollo r2600 Gen10 24 SFF Premium Configure-to,HPE Apollo r2600 Gen10 24 SFF Premium Configure-to-order Chassis,14,0.78125,50
