id;string1;string2;distance;similarity;substring
PRE52660V414C-2;HCIA PROC E5-2660 V4 14C 2.0GHZ 2ND;=>>HCIA PROC E5-2660 V4;18;49%;HCIA PROC E5-2660 V4
PRE52620V408C-2;HCIA PROC E5-2620 v4 8C 2.1GHZ 2ND;HCIA PROC E5-2620 V4 8C 2.1GHZ 2ND;0;100%;"HCIA PROC E5-2620 "
PRE52620V408C21;HCIA PROC E5-2620 v4 8C 2.1GHZ 1ST;HCIA PROC E5-2620 V4 8C 2.1GHZ 1ST;0;100%;"HCIA PROC E5-2620 "
7114027;PRIVATE CLOUD APPLIANCE X6-2  UPGRADE SERVER;PRIVATE CLOUD APPLIANCE X6-2: UPGRADE SE;5;89%;PRIVATE CLOUD APPLIANCE X6-2
PRE52680V414C-2;HCIA PROC E5-2680 V4 14C 2.4GHZ 2ND;=>>HCIA PROC E5-2680;21;40%;HCIA PROC E5-2680
PRE52650V412C22;HCIA PROC E5-2650 V4 12C 2.2GHZ 1ST;=>>HCIA PROC E5-2650 V4;18;49%;HCIA PROC E5-2650 V4
7113257;Oracle Server X6-2L: model family;ORACLE SERVER X6-2L: MODEL FAMILY;0;100%;" X6-2L: "
671137-001;PCA QUADO 4000 2GB PCI-E;671137-001-PCA Quado 4000 2GB PCI-e;11;69%;" 4000 2GB PCI-"
PRE52660V414C-2;HCIA PROC E5-2660 V4 14C 2.0GHZ 2ND;=>>HCIA PROC E5-2660 V4;18;49%;HCIA PROC E5-2660 V4
PRE52660V414C20;HCIA PROC E5-2660 V4 14C 2.0GHZ 1ST;=>>HCIA PROC E5-2660 V4;18;49%;HCIA PROC E5-2660 V4
PRE52660V414C20;HCIA PROC E5-2660 V4 14C 2.0GHZ 1ST;=>>HCIA PROC E5-2660 V4;18;49%;HCIA PROC E5-2660 V4
PRE52660V414C-2;HCIA PROC E5-2660 V4 14C 2.0GHZ 2ND;=>>HCIA PROC E5-2660 V4;18;49%;HCIA PROC E5-2660 V4
PRE52650V412C22;HCIA PROC E5-2650 V4 12C 2.2GHZ 1ST;=>>HCIA PROC E5-2650 V4;18;49%;HCIA PROC E5-2650 V4
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;64;35%;Oracle Server X6-2:
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;64;35%;Oracle Server X6-2:
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;64;35%;Oracle Server X6-2:
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;64;35%;Oracle Server X6-2:
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;64;35%;Oracle Server X6-2:
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;64;35%;Oracle Server X6-2:
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;64;35%;Oracle Server X6-2:
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;64;35%;Oracle Server X6-2:
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;64;35%;Oracle Server X6-2:
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;64;35%;Oracle Server X6-2:
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;64;35%;Oracle Server X6-2:
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;64;35%;Oracle Server X6-2:
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;64;35%;Oracle Server X6-2:
PRE52660V414C-2;HCIA PROC E5-2660 V4 14C 2.0GHZ 2ND;=>>HCIA PROC E5-2660 V4;18;49%;HCIA PROC E5-2660 V4
PRE52660V414C20;HCIA PROC E5-2660 V4 14C 2.0GHZ 1ST;=>>HCIA PROC E5-2660 V4;18;49%;HCIA PROC E5-2660 V4
7111942;Oracle FS Pilot with 2 Oracle Server X5-;ORACLE FS PILOT WITH 2 ORACLE SERVER X5-2;1;98%;" FS P"
D:PF-VSAN-SOL-ID;=>>PRIMEFLEX FOR VMWARE VSAN SOL;FUJITSU VMW VSAN 6.2 ADV for 1 CPU;30;12%;" VSAN "
D:PF-VSAN-SOL-ID;=>>PRIMEFLEX FOR VMWARE VSAN SOL;PRIMEFLEX FOR VMWARE;12;63%;PRIMEFLEX FOR VMWARE
D:PF-VSAN-SOL-ID;=>>PRIMEFLEX FOR VMWARE VSAN SOL;PRIMEFLEX FOR VMWARE VSAN SOL ID - D:PF-VSAN-SOL-ID;25;51%;PRIMEFLEX FOR VMWARE VSAN SOL
7111942;ORACLE FS PILOT WITH 2 ORACLE SERVER X5-;ORACLE FS PILOT WITH 2 ORACLE SERVER X5-2;1;98%;ORACLE FS PILOT WITH 2 ORACLE SERVER X5-
PRE52620V408C-2;HCIA PROC E5-2620 v4 8C 2.1GHZ 2ND;HCIA PROC E5-2620 V4 8C 2.1GHZ 2ND;0;100%;"HCIA PROC E5-2620 "
PRE52620V408C21;HCIA PROC E5-2620 v4 8C 2.1GHZ 1ST;HCIA PROC E5-2620 V4 8C 2.1GHZ 1ST;0;100%;"HCIA PROC E5-2620 "
PRE52650V412C22;HCIA PROC E5-2650 V4 12C 2.2GHZ 1ST;=>>HCIA PROC E5-2650 V4;18;49%;HCIA PROC E5-2650 V4
7114026;Private Cloud Appliance X62: server (for factory installation);BTO Exadata X6-2 NIC RM;51;18%;" X6"
B72650;Oracle Standard Software Installation & Configuration for Systems Service: Oracle ZFS Backup Appliance;ORACLE STANDART SW ISTALLATION AND CONFIGURATION;60;41%;" S"
7111942;Oracle FS Pilot with 2 Oracle Server X5-2 (for factory installation);ORACLE FS PILOT WITH 2 ORACLE SERVER X5-2;27;60%;" FS P"
7110837;Oracle SuperCluster M7: server with 4 processors (for factory installation);ORACLE SUPERCLUSTER M7: ONE M7-8 CHASSIS WITH 4;42;44%;" M7: "
7113335;Exadata Database Machine X6-2 HC Half Rack;EXADATA DATABASE MACHINE X6-2 HC HALF RACK;0;100%;" X6-2 HC H"
7113954;Oracle HW Zero Data Loss Recovery Appl X6 Storage Svr;ZERO DATA LOSS RECOVERY APPLIANCE X6 STO;23;57%;" X6 S"
7114026;Private Cloud Appliance X62: server (for factory installation);BTO Exadata X6-2 NIC RM;51;18%;" X6"
7114026;Private Cloud Appliance X62: server (for factory installation);BTO Exadata X6-2 NIC RM;51;18%;" X6"
7114027;Private Cloud Appliance X6-2: upgrade server;PRIVATE CLOUD APPLIANCE X6-2: UPGRADE SE;4;91%;" X6-2: "
7111942;Oracle FS Pilot with 2 Oracle Server X5-2 (for factory installation);ORACLE FS PILOT WITH 2 ORACLE SERVER X5-2;27;60%;" FS P"
7114026;Private Cloud Appliance X62: server (for factory installation);BTO Exadata X6-2 NIC RM;51;18%;" X6"
7114027;Private Cloud Appliance X6-2: upgrade server;PRIVATE CLOUD APPLIANCE X6-2: UPGRADE SE;4;91%;" X6-2: "
7114027;Private Cloud Appliance X6-2: upgrade server;PRIVATE CLOUD APPLIANCE X6-2: UPGRADE SE;4;91%;" X6-2: "
L104811;Oracle Database In-Memory for Exalytics NUP;Oracle Exalytics In-Memory Software Lic;22;49%;" In-Memory "
7113296;Exadata Database Machine X6-2: model family;:UGAP:ORACLE Exadata Databa Machine X6-2;29;33%;Exadata Databa
7114026;Private Cloud Appliance X62: server (for factory installation);BTO Exadata X6-2 NIC RM;51;18%;" X6"
7110252;Ora ORACLE Database Appliance X5-2;ORACLE DATABASE APPLIANCE X5-2;4;88%;ORACLE D
7110252;Ora ORACLE Database Appliance X5-2;Oracle Database Appliance X5-2;4;88%;" Database Appliance X5-2"
7113342;ORACLE Exadata Database Server X6-2 plus;BTO Exadata X6-2 NIC RM;28;30%;" Exadata "
7113342;ORACLE Exadata Database Server X6-2 plus;EXADATA DATABASE SERVER X6-2 PLUS INFINI;14;65%;" X6-2 "
7113342;ORACLE Exadata Database Server X6-2 plus;Exadata Database Server X6-2 plus Infiniband Infrastructure (for field installation);58;31%;Exadata Database Server X6-2 plus
7113296;:UGAP:ORACLE Exadata Database Machine X6;:UGAP:ORACLE Exadata Databa Machine X6-2;4;90%;:UGAP:ORACLE Exadata Databa
7113954;ZERO DATA LOSS RECOVERY APPLIANCE X6 STORAGE;ZERO DATA LOSS RECOVERY APPLIANCE X6 STO;4;91%;ZERO DATA LOSS RECOVERY APPLIANCE X6 STO
PRE52620V408C-2;HCIA PROC E5-2620 v4 8C 2.1GHZ 2ND;HCIA PROC E5-2620 V4 8C 2.1GHZ 2ND;0;100%;"HCIA PROC E5-2620 "
PRE52620V408C21;HCIA PROC E5-2620 v4 8C 2.1GHZ 1ST;HCIA PROC E5-2620 V4 8C 2.1GHZ 1ST;0;100%;"HCIA PROC E5-2620 "
PRE52680V414C-2;HCIA PROC E5-2680 v4 14C 2.4GHZ 2ND;=>>HCIA PROC E5-2680;21;40%;HCIA PROC E5-2680
7114026;PRIVATE CLOUD APPLIANCE X6-2: SERVER (FO;BTO Exadata X6-2 NIC RM;28;30%;" X6-2"
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;64;35%;Oracle Server X6-2:
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;64;35%;Oracle Server X6-2:
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;64;35%;Oracle Server X6-2:
7114027;Private Cloud Appliance X6-2: upgrade server;PRIVATE CLOUD APPLIANCE X6-2: UPGRADE SE;4;91%;" X6-2: "
7114026;Private Cloud Appliance X62: server (for factory installation);BTO Exadata X6-2 NIC RM;51;18%;" X6"
7114026;Private Cloud Appliance X62: server (for factory installation);BTO Exadata X6-2 NIC RM;51;18%;" X6"
B72650;Oracle Standard Software Installation & Configuration for Systems Service: Oracle ZFS Backup Appliance;ORACLE STANDART SW ISTALLATION AND CONFIGURATION;60;41%;" S"
B72650;Oracle Standard Software Installation & Configuration for Systems Service: Oracle ZFS Backup Appliance;ORACLE STANDART SW ISTALLATION AND CONFIGURATION;60;41%;" S"
B86810;Oracle Database Exadata Express Cloud Service - X50IM - Hosted Enviroment 1Yr;ORACLE DATABASE EXADATA EXPRESS CLOUD SE;37;52%;" D"
B72650;Oracle Standard Software Installation & Configuration for Systems Service: Oracle ZFS Backup Appliance;ORACLE STANDART SW ISTALLATION AND CONFIGURATION;60;41%;" S"
7114026;Private Cloud Appliance X62: server (for factory installation);BTO Exadata X6-2 NIC RM;51;18%;" X6"
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;64;35%;Oracle Server X6-2:
B72650;Oracle Standard Software Installation & Configuration for Systems Service: Oracle ZFS Backup Appliance;ORACLE STANDART SW ISTALLATION AND CONFIGURATION;60;41%;" S"
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;64;35%;Oracle Server X6-2:
B86810;Oracle Database Exadata Express Cloud Service - X50IM - Hosted Enviroment 1Yr;ORACLE DATABASE EXADATA EXPRESS CLOUD SE;37;52%;" D"
PRE52680V414C-2;HCIA PROC E5-2680 V4 14C 2.4GHZ 2ND;=>>HCIA PROC E5-2680;21;40%;HCIA PROC E5-2680
PRE52650V412C22;HCIA PROC E5-2650 V4 12C 2.2GHZ 1ST;=>>HCIA PROC E5-2650 V4;18;49%;HCIA PROC E5-2650 V4
PRE52680V414C-2;HCIA PROC E5-2680 v4 14C 2.4GHZ 2ND;=>>HCIA PROC E5-2680;21;40%;HCIA PROC E5-2680
PRE52660V414C-2;HCIA PROC E5-2660 V4 14C 2.0GHZ 2ND;=>>HCIA PROC E5-2660 V4;18;49%;HCIA PROC E5-2660 V4
PRE52660V414C20;HCIA PROC E5-2660 V4 14C 2.0GHZ 1ST;=>>HCIA PROC E5-2660 V4;18;49%;HCIA PROC E5-2660 V4
7114027;Private Cloud Appliance X6-2: upgrade server;PRIVATE CLOUD APPLIANCE X6-2: UPGRADE SE;4;91%;" X6-2: "
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;64;35%;Oracle Server X6-2:
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;64;35%;Oracle Server X6-2:
7113252;ORACLE SERVER X6-2: 1 RU BASE CHASSIS WI;Oracle Server X6-2: 1 RU base chassis wi;0;100%;" X6-2: 1 RU "
7114026;Private Cloud Appliance X62: server (for factory installation);BTO Exadata X6-2 NIC RM;51;18%;" X6"
B72650;Oracle Standard Software Installation & Configuration for Systems Service: Oracle ZFS Backup Appliance;ORACLE STANDART SW ISTALLATION AND CONFIGURATION;60;41%;" S"
7114138;Oracle Database Appliance X6-2M: model family;ORA Database Appliance X6-2M: model f;8;82%;" Database Appliance X6-2M: model f"
7114138;Oracle Database Appliance X6-2M: model family;ORACLE DATABASE APPLIANCE X6-2M: MODEL F;5;89%;" X6-2M: "
7114138;Oracle Database Appliance X6-2M: model family;Oracle Database Appliance X6-2M: model f;5;89%;Oracle Database Appliance X6-2M: model f
7113206;Oracle Server X6-2: model familyList 0 CATZ;ORACLE SERVER X6-2: MODEL FAMILY;11;74%;" X6-2: "
7113206;Oracle Server X6-2: model familyList 0 CATZ;Oracle Server X6-2: model family;11;74%;Oracle Server X6-2: model family
PRE52650V412C22;HCIA PROC E5-2650 V4 12C 2.2GHZ 1ST;=>>HCIA PROC E5-2650 V4;18;49%;HCIA PROC E5-2650 V4
PRE52650V412C22;HCIA PROC E5-2650 V4 12C 2.2GHZ 1ST;=>>HCIA PROC E5-2650 V4;18;49%;HCIA PROC E5-2650 V4
7113296;Exadata Database Machine X6-2: model fam;:UGAP:ORACLE Exadata Databa Machine X6-2;26;35%;Exadata Databa
7113962;Exadata Database Machine X6-2: Oracle En;EXADATA DATABASE MACHINE X6-2: ORACLE EN;0;100%;" X6-2: O"
7113962;Exadata Database Machine X6-2: Oracle En;EXADATA MACHINE X6-2: ORACLE ENTERPRISE LINUX;23;49%;" X6-2: O"
7113962;Exadata Database Machine X6-2: Oracle En;Oracle Enterprise Linux software image;33;18%;Oracle En
7116341;EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY;BTO Exadata X7-2 Database Machine;28;35%;" X7-2 "
7116341;EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY;EXADATA DATABASE MACHINE X7-2 HIGH CAPAC;3;93%;EXADATA DATABASE MACHINE X7-2 HIGH CAPAC
7116341;EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY;Exadata Database Machine X7-2 High Capac;3;93%;" X7-2 H"
7116341;EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY;Oracle Exadata Database Machine X7-2 Hig;17;60%;" X7-2 H"
7116341;EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY;Oracle Exadata Database Machine X7-2 High Capacity (HC) Quarter Rack with two 384 GB DB;44;49%;" X7-2 H"
7116343;EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY (HC);BTO Exadata X7-2 Database Machine;33;31%;" X7-2 "
7116343;EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY (HC);Exadata Database Machine X7-2 HC 8 rack;14;71%;" X7-2 H"
7116343;EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY (HC);EXADATA DATABASE MACHINE X7-2 HIGH CAPAC;8;83%;EXADATA DATABASE MACHINE X7-2 HIGH CAPAC
7116343;EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY (HC);Oracle Exadata Database Machine X7-2 Hig;22;54%;" X7-2 H"
7116343;EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY (HC);Oracle Exadata Database Machine X7-2 High Capacity (HC) Eighth Rack;19;72%;" X7-2 H"
7119080;EXADATA DATABASE SERVER X7-2 WITH 768 GB;BTO Exadata X7-2 786432 NIC;29;28%;" X7-2 "
7113252;ORACLE SERVER X6-2: 1 RU BASE CHASSIS WI;Oracle Server X6-2: 1 RU base chassis wi;0;100%;" X6-2: 1 RU "
INFR-Q287-00-A01;SIDE PANELIPIVXBLOCK;Side Panel IPI VxBLOCK branded BLK;14;59%;BLOCK
INFR-Q287-00-A01;SIDE PANELIPIVXBLOCK;VCE. Side Panel  IPI  VxBLOCK branded  BLK;22;48%;BLOCK
PSVC-VFDB-00-A03;VCE DEPLOY   VXBLOCK SYSTEM;VCE. VCE Deploy – VxBlock System – Per Rack;17;60%;VCE D
INFR-Q285-00-C01;LED DOOR BRND IPI VXBLOCK BLK;VCE. LED Door BRND IPI VxBLOCK BLK DELL-EMC;14;67%;" BRND IPI V"
PSVC-VFDA-00-A03;VCE DEPLOY   VXBLOCK SYSTEM;VCE. VCE Deploy – VxBlock System – Base;13;67%;VCE D
PRE52680V414C-2;HCIA PROC E5-2680 v4 14C 2.4GHZ 2ND;=>>HCIA PROC E5-2680;21;40%;HCIA PROC E5-2680
PRE52620V408C21;CS/HCIA PROC E5-2620 V4 8C 2.1GHZ 1ST;HCIA PROC E5-2620 V4 8C 2.1GHZ 1ST;3;92%;HCIA PROC E5-2620 V4 8C 2.1GHZ 1ST
PRE52637V404C35;HCIA PROC E5-2637 V4 4C 3.5GHZ 1ST;HCIA PROC E5-2637 v4 4C 3.5GHZ 1ST;0;100%;"HCIA PROC E5-2637 "
PRE52637V404C-2;HCIA PROC E5-2637 V4 4C 3.5GHZ 2ND;HCIA PROC E5-2637 v4 4C 3.5GHZ 2ND;0;100%;"HCIA PROC E5-2637 "
7117433;Oracle Database Appliance X7 memory expa;Oracle Database Appliance X7;12;70%;Oracle Database Appliance X7
7117433;Oracle Database Appliance X7 memory expa;Oracle MÃ©moire 192Go : 6*32Go;29;28%;"Oracle "
PRE52680V414C-2;HCIA PROC E5-2680 v4 14C 2.4GHZ 2ND;=>>HCIA PROC E5-2680;21;40%;HCIA PROC E5-2680
PRE52660V414C-2;EMC. HCIA PROC E5-2660 V4 14C 2.0GHZ 2ND;=>>HCIA PROC E5-2660 V4;20;50%;HCIA PROC E5-2660 V4
PRE52660V414C20;EMC. HCIA PROC E5-2660 V4 14C 2.0GHZ 1ST;=>>HCIA PROC E5-2660 V4;20;50%;HCIA PROC E5-2660 V4
PR6142GD16C26AF;VxRail-500 Intel CPU 6142 16C 2.6 GHz AF;VXRAIL-500 INTEL CPU 6142 16C 2;9;78%;" CPU 6142 16C 2"
PR6142GD16C26AF;VxRail-500 Intel CPU 6142 16C 2.6 GHz AF;VXRAIL 500 Flash Drive Array;26;35%;"500 "
PR6142GD16C26AF-2;VxRail-500IntelCPU 6142 16C 2.6 GHz2ndAF;VXRAIL-500INTELCPU 6142 16C 2.6;9;78%;CPU 6142 16C 2.6
INFR-Q287-00-A01;SIDE PANEL IPI VXBLOCK;Side Panel IPI VxBLOCK branded BLK;12;65%;" IPI V"
INFR-Q287-00-A01;SIDE PANEL IPI VXBLOCK;VCE. Side Panel  IPI  VxBLOCK branded  BLK;20;52%;" IPI "
INFR-Q285-00-A01;LED DOOR BRANDING IPI VXBLOCK;LED Door branding IPI VxBLOCK BLK TM;7;81%;" IPI V"
INFR-Q285-00-A01;LED DOOR BRANDING IPI VXBLOCK;VCE. VxBLOCK 700mm LED front door branding;34;19%;BLOCK
DELLE-PR6140GD18C23A;VXRAIL-500 INTEL CPU 6140 18C 2.3 GHZ AF;VXRAIL-500 UNITED KINGDOM SHIPMOD F;23;43%;"VXRAIL-500 "
PR6126GD12C26;VXRAIL-500 INTEL CPU 6126 12C 2.6 GHZ H;VXRAIL 500 Xeon Gold/6126/2.6GHz Flash Drive Array;32;36%;VXRAIL
PR5115GD10C24;VXRAIL-500 INTEL CPU 5115 10C 2.4 GHZ H;VXRAIL-500 INTEL CPU 5115 10C 2.4 G;4;90%;VXRAIL-500 INTEL CPU 5115 10C 2.4 G
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;64;35%;Oracle Server X6-2:
PR6134GD8C32AF;VxRail-500 Intel CPU 6134 8C 3.2 GHz AF;VXRAIL 500 Flash Drive Array;25;36%;"500 "
PRE52680V414C-2;HCIA PROC E5-2680 v4 14C 2.4GHZ 2ND;=>>HCIA PROC E5-2680;21;40%;HCIA PROC E5-2680
PR4110SV8C21;VxRail-500 Intel CPU 4110 8C 2.1 GHz H;VXRAIL-500 INTEL CPU 4110 8C 2;8;79%;" CPU 4110 8C 2"
PR4110SV8C21-2;VxRail-500 Intel CPU 4110 8C 2.1GHz2ndH;VXRAIL-500 INTEL CPU 4110 8C 2;9;77%;" CPU 4110 8C 2"
PRE52650V412C22;HCIA PROC E5-2650 v4 12C 2.2GHZ 1ST;=>>HCIA PROC E5-2650 V4;18;49%;"HCIA PROC E5-2650 "
7117433;Oracle Database Appliance X7 memory expa;Oracle Database Appliance X7;12;70%;Oracle Database Appliance X7
7117433;Oracle Database Appliance X7 memory expa;Oracle MÃ©moire 192Go : 6*32Go;29;28%;"Oracle "
PRE52680V414C-2;HCIA PROC E5-2680 V4 14C 2.4GHZ 2ND;=>>HCIA PROC E5-2680;21;40%;HCIA PROC E5-2680
7117433;Oracle Database Appliance X7 mem expan.;Oracle Database Appliance X7;11;72%;Oracle Database Appliance X7
7117433;Oracle Database Appliance X7 mem expan.;Oracle MÃ©moire 192Go : 6*32Go;28;28%;"Oracle "
35M Cache;9.60GT/s QPI;Turbo;11;8%;T
7117433;Oracle Database Appliance X7 memory expa;Oracle Database Appliance X7;12;70%;Oracle Database Appliance X7
7117433;Oracle Database Appliance X7 memory expa;Oracle MÃ©moire 192Go : 6*32Go;29;28%;"Oracle "
PR6140GD18C23;VXRAIL-500 INTEL CPU 6140 18C 2.3 GHZ H;VXRAIL 500 Xeon18C/Gold 6140/2.3GHz Flash Drive Array;34;36%;VXRAIL
PR6134GD8C32AF;VXRAIL-500 INTEL CPU 6134 8C 3.2 GHZ AF;VXRAIL 500 Flash Drive Array;25;36%;VXRAIL
PR6134GD8C32AF;VxRail-500 Intel CPU 6134 8C 3.2 GHz AF;VXRAIL 500 Flash Drive Array;25;36%;"500 "
PR5115GD10C24;VXRAIL-500 INTEL CPU 5115 10C 2.4 GHZ H;VXRAIL-500 INTEL CPU 5115 10C 2.4 G;4;90%;VXRAIL-500 INTEL CPU 5115 10C 2.4 G
