OWN_PN;OWN_PROD_NAME;TABLE.OWN_PROD_NAME
7113962;Exadata Database Machine X6-2: Oracle En;EXADATA DATABASE MACHINE X6-2: ORACLE EN;
7113962;Exadata Database Machine X6-2: Oracle En;EXADATA MACHINE X6-2: ORACLE ENTERPRISE LINUX;
7113962;Exadata Database Machine X6-2: Oracle En;Oracle Enterprise Linux software image;
7113252;Oracle Server X6-2:1 RU base chassis w.m;Oracle Server X6-2: 1 RU base chassis wi;
7113252;ORACLE SERVER X6-2: 1 RU BASE CHASSIS WI;Oracle Server X6-2: 1 RU base chassis wi;
7113296;EXADATA DATABASE MACHINE X6-2: MODEL FAM;:UGAP:ORACLE Exadata Databa Machine X6-2;
7113252;ORACLE SERVER X6-2: 1 RU BASE CHASSIS WI;Oracle Server X6-2: 1 RU base chassis wi;
PRE52660V414C20;HCIA PROC E5-2660 V4 14C 2.0GHZ 1ST;=>>HCIA PROC E5-2660 V4;
PRE52660V414C-2;HCIA PROC E5-2660 V4 14C 2.0GHZ 2ND;=>>HCIA PROC E5-2660 V4;
PRE52620V408C-2;HCIA PROC E5-2620 v4 8C 2.1GHZ 2ND;HCIA PROC E5-2620 V4 8C 2.1GHZ 2ND;
PRE52620V408C21;HCIA PROC E5-2620 v4 8C 2.1GHZ 1ST;HCIA PROC E5-2620 V4 8C 2.1GHZ 1ST;
7114027;PRIVATE CLOUD APPLIANCE X6-2  UPGRADE SERVER;PRIVATE CLOUD APPLIANCE X6-2: UPGRADE SE;
PRE52680V414C-2;HCIA PROC E5-2680 V4 14C 2.4GHZ 2ND;=>>HCIA PROC E5-2680;
PRE52650V412C22;HCIA PROC E5-2650 V4 12C 2.2GHZ 1ST;=>>HCIA PROC E5-2650 V4;
7113257;Oracle Server X6-2L: model family;ORACLE SERVER X6-2L: MODEL FAMILY;
671137-001;PCA QUADO 4000 2GB PCI-E;671137-001-PCA Quado 4000 2GB PCI-e;
PRE52660V414C-2;HCIA PROC E5-2660 V4 14C 2.0GHZ 2ND;=>>HCIA PROC E5-2660 V4;
PRE52660V414C20;HCIA PROC E5-2660 V4 14C 2.0GHZ 1ST;=>>HCIA PROC E5-2660 V4;
PRE52660V414C20;HCIA PROC E5-2660 V4 14C 2.0GHZ 1ST;=>>HCIA PROC E5-2660 V4;
PRE52660V414C-2;HCIA PROC E5-2660 V4 14C 2.0GHZ 2ND;=>>HCIA PROC E5-2660 V4;
PRE52650V412C22;HCIA PROC E5-2650 V4 12C 2.2GHZ 1ST;=>>HCIA PROC E5-2650 V4;
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;
PRE52660V414C-2;HCIA PROC E5-2660 V4 14C 2.0GHZ 2ND;=>>HCIA PROC E5-2660 V4;
PRE52660V414C20;HCIA PROC E5-2660 V4 14C 2.0GHZ 1ST;=>>HCIA PROC E5-2660 V4;
7111942;Oracle FS Pilot with 2 Oracle Server X5-;ORACLE FS PILOT WITH 2 ORACLE SERVER X5-2;
D:PF-VSAN-SOL-ID;=>>PRIMEFLEX FOR VMWARE VSAN SOL;FUJITSU VMW VSAN 6.2 ADV for 1 CPU;
D:PF-VSAN-SOL-ID;=>>PRIMEFLEX FOR VMWARE VSAN SOL;PRIMEFLEX FOR VMWARE;
D:PF-VSAN-SOL-ID;=>>PRIMEFLEX FOR VMWARE VSAN SOL;PRIMEFLEX FOR VMWARE VSAN SOL ID - D:PF-VSAN-SOL-ID;
7111942;ORACLE FS PILOT WITH 2 ORACLE SERVER X5-;ORACLE FS PILOT WITH 2 ORACLE SERVER X5-2;
PRE52620V408C-2;HCIA PROC E5-2620 v4 8C 2.1GHZ 2ND;HCIA PROC E5-2620 V4 8C 2.1GHZ 2ND;
PRE52620V408C21;HCIA PROC E5-2620 v4 8C 2.1GHZ 1ST;HCIA PROC E5-2620 V4 8C 2.1GHZ 1ST;
PRE52650V412C22;HCIA PROC E5-2650 V4 12C 2.2GHZ 1ST;=>>HCIA PROC E5-2650 V4;
7114026;Private Cloud Appliance X62: server (for factory installation);BTO Exadata X6-2 NIC RM;
B72650;Oracle Standard Software Installation & Configuration for Systems Service: Oracle ZFS Backup Appliance;ORACLE STANDART SW ISTALLATION AND CONFIGURATION;
7111942;Oracle FS Pilot with 2 Oracle Server X5-2 (for factory installation);ORACLE FS PILOT WITH 2 ORACLE SERVER X5-2;
7110837;Oracle SuperCluster M7: server with 4 processors (for factory installation);ORACLE SUPERCLUSTER M7: ONE M7-8 CHASSIS WITH 4;
7113335;Exadata Database Machine X6-2 HC Half Rack;EXADATA DATABASE MACHINE X6-2 HC HALF RACK;
7113954;Oracle HW Zero Data Loss Recovery Appl X6 Storage Svr;ZERO DATA LOSS RECOVERY APPLIANCE X6 STO;
7114026;Private Cloud Appliance X62: server (for factory installation);BTO Exadata X6-2 NIC RM;
7114026;Private Cloud Appliance X62: server (for factory installation);BTO Exadata X6-2 NIC RM;
7114027;Private Cloud Appliance X6-2: upgrade server;PRIVATE CLOUD APPLIANCE X6-2: UPGRADE SE;
7111942;Oracle FS Pilot with 2 Oracle Server X5-2 (for factory installation);ORACLE FS PILOT WITH 2 ORACLE SERVER X5-2;
7114026;Private Cloud Appliance X62: server (for factory installation);BTO Exadata X6-2 NIC RM;
7114027;Private Cloud Appliance X6-2: upgrade server;PRIVATE CLOUD APPLIANCE X6-2: UPGRADE SE;
7114027;Private Cloud Appliance X6-2: upgrade server;PRIVATE CLOUD APPLIANCE X6-2: UPGRADE SE;
L104811;Oracle Database In-Memory for Exalytics NUP;Oracle Exalytics In-Memory Software Lic;
7113296;Exadata Database Machine X6-2: model family;:UGAP:ORACLE Exadata Databa Machine X6-2;
7114026;Private Cloud Appliance X62: server (for factory installation);BTO Exadata X6-2 NIC RM;
7110252;Ora ORACLE Database Appliance X5-2;ORACLE DATABASE APPLIANCE X5-2;
7110252;Ora ORACLE Database Appliance X5-2;Oracle Database Appliance X5-2;
7113342;ORACLE Exadata Database Server X6-2 plus;BTO Exadata X6-2 NIC RM;
7113342;ORACLE Exadata Database Server X6-2 plus;EXADATA DATABASE SERVER X6-2 PLUS INFINI;
7113342;ORACLE Exadata Database Server X6-2 plus;Exadata Database Server X6-2 plus Infiniband Infrastructure (for field installation);
7113296;:UGAP:ORACLE Exadata Database Machine X6;:UGAP:ORACLE Exadata Databa Machine X6-2;
7113954;ZERO DATA LOSS RECOVERY APPLIANCE X6 STORAGE;ZERO DATA LOSS RECOVERY APPLIANCE X6 STO;
PRE52620V408C-2;HCIA PROC E5-2620 v4 8C 2.1GHZ 2ND;HCIA PROC E5-2620 V4 8C 2.1GHZ 2ND;
PRE52620V408C21;HCIA PROC E5-2620 v4 8C 2.1GHZ 1ST;HCIA PROC E5-2620 V4 8C 2.1GHZ 1ST;
PRE52680V414C-2;HCIA PROC E5-2680 v4 14C 2.4GHZ 2ND;=>>HCIA PROC E5-2680;
7114026;PRIVATE CLOUD APPLIANCE X6-2: SERVER (FO;BTO Exadata X6-2 NIC RM;
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;
7114027;Private Cloud Appliance X6-2: upgrade server;PRIVATE CLOUD APPLIANCE X6-2: UPGRADE SE;
7114026;Private Cloud Appliance X62: server (for factory installation);BTO Exadata X6-2 NIC RM;
7114026;Private Cloud Appliance X62: server (for factory installation);BTO Exadata X6-2 NIC RM;
B72650;Oracle Standard Software Installation & Configuration for Systems Service: Oracle ZFS Backup Appliance;ORACLE STANDART SW ISTALLATION AND CONFIGURATION;
B72650;Oracle Standard Software Installation & Configuration for Systems Service: Oracle ZFS Backup Appliance;ORACLE STANDART SW ISTALLATION AND CONFIGURATION;
B86810;Oracle Database Exadata Express Cloud Service - X50IM - Hosted Enviroment 1Yr;ORACLE DATABASE EXADATA EXPRESS CLOUD SE;
B72650;Oracle Standard Software Installation & Configuration for Systems Service: Oracle ZFS Backup Appliance;ORACLE STANDART SW ISTALLATION AND CONFIGURATION;
7114026;Private Cloud Appliance X62: server (for factory installation);BTO Exadata X6-2 NIC RM;
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;
B72650;Oracle Standard Software Installation & Configuration for Systems Service: Oracle ZFS Backup Appliance;ORACLE STANDART SW ISTALLATION AND CONFIGURATION;
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;
B86810;Oracle Database Exadata Express Cloud Service - X50IM - Hosted Enviroment 1Yr;ORACLE DATABASE EXADATA EXPRESS CLOUD SE;
PRE52680V414C-2;HCIA PROC E5-2680 V4 14C 2.4GHZ 2ND;=>>HCIA PROC E5-2680;
PRE52650V412C22;HCIA PROC E5-2650 V4 12C 2.2GHZ 1ST;=>>HCIA PROC E5-2650 V4;
PRE52680V414C-2;HCIA PROC E5-2680 v4 14C 2.4GHZ 2ND;=>>HCIA PROC E5-2680;
PRE52660V414C-2;HCIA PROC E5-2660 V4 14C 2.0GHZ 2ND;=>>HCIA PROC E5-2660 V4;
PRE52660V414C20;HCIA PROC E5-2660 V4 14C 2.0GHZ 1ST;=>>HCIA PROC E5-2660 V4;
7114027;Private Cloud Appliance X6-2: upgrade server;PRIVATE CLOUD APPLIANCE X6-2: UPGRADE SE;
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;
7113252;ORACLE SERVER X6-2: 1 RU BASE CHASSIS WI;Oracle Server X6-2: 1 RU base chassis wi;
7114026;Private Cloud Appliance X62: server (for factory installation);BTO Exadata X6-2 NIC RM;
B72650;Oracle Standard Software Installation & Configuration for Systems Service: Oracle ZFS Backup Appliance;ORACLE STANDART SW ISTALLATION AND CONFIGURATION;
7114138;Oracle Database Appliance X6-2M: model family;ORA Database Appliance X6-2M: model f;
7114138;Oracle Database Appliance X6-2M: model family;ORACLE DATABASE APPLIANCE X6-2M: MODEL F;
7114138;Oracle Database Appliance X6-2M: model family;Oracle Database Appliance X6-2M: model f;
7113206;Oracle Server X6-2: model familyList 0 CATZ;ORACLE SERVER X6-2: MODEL FAMILY;
7113206;Oracle Server X6-2: model familyList 0 CATZ;Oracle Server X6-2: model family;
PRE52650V412C22;HCIA PROC E5-2650 V4 12C 2.2GHZ 1ST;=>>HCIA PROC E5-2650 V4;
PRE52650V412C22;HCIA PROC E5-2650 V4 12C 2.2GHZ 1ST;=>>HCIA PROC E5-2650 V4;
7113296;Exadata Database Machine X6-2: model fam;:UGAP:ORACLE Exadata Databa Machine X6-2;
7113962;Exadata Database Machine X6-2: Oracle En;EXADATA DATABASE MACHINE X6-2: ORACLE EN;
7113962;Exadata Database Machine X6-2: Oracle En;EXADATA MACHINE X6-2: ORACLE ENTERPRISE LINUX;
7113962;Exadata Database Machine X6-2: Oracle En;Oracle Enterprise Linux software image;
7116341;EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY;BTO Exadata X7-2 Database Machine;
7116341;EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY;EXADATA DATABASE MACHINE X7-2 HIGH CAPAC;
7116341;EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY;Exadata Database Machine X7-2 High Capac;
7116341;EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY;Oracle Exadata Database Machine X7-2 Hig;
7116341;EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY;Oracle Exadata Database Machine X7-2 High Capacity (HC) Quarter Rack with two 384 GB DB;
7116343;EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY (HC);BTO Exadata X7-2 Database Machine;
7116343;EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY (HC);Exadata Database Machine X7-2 HC 8 rack;
7116343;EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY (HC);EXADATA DATABASE MACHINE X7-2 HIGH CAPAC;
7116343;EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY (HC);Oracle Exadata Database Machine X7-2 Hig;
7116343;EXADATA DATABASE MACHINE X7-2 HIGH CAPACITY (HC);Oracle Exadata Database Machine X7-2 High Capacity (HC) Eighth Rack;
7119080;EXADATA DATABASE SERVER X7-2 WITH 768 GB;BTO Exadata X7-2 786432 NIC;
7113252;ORACLE SERVER X6-2: 1 RU BASE CHASSIS WI;Oracle Server X6-2: 1 RU base chassis wi;
INFR-Q287-00-A01;SIDE PANELIPIVXBLOCK;Side Panel IPI VxBLOCK branded BLK;
INFR-Q287-00-A01;SIDE PANELIPIVXBLOCK;VCE. Side Panel  IPI  VxBLOCK branded  BLK;
PSVC-VFDB-00-A03;VCE DEPLOY   VXBLOCK SYSTEM;VCE. VCE Deploy – VxBlock System – Per Rack;
INFR-Q285-00-C01;LED DOOR BRND IPI VXBLOCK BLK;VCE. LED Door BRND IPI VxBLOCK BLK DELL-EMC;
PSVC-VFDA-00-A03;VCE DEPLOY   VXBLOCK SYSTEM;VCE. VCE Deploy – VxBlock System – Base;
PRE52680V414C-2;HCIA PROC E5-2680 v4 14C 2.4GHZ 2ND;=>>HCIA PROC E5-2680;
PRE52620V408C21;CS/HCIA PROC E5-2620 V4 8C 2.1GHZ 1ST;HCIA PROC E5-2620 V4 8C 2.1GHZ 1ST;
PRE52637V404C35;HCIA PROC E5-2637 V4 4C 3.5GHZ 1ST;HCIA PROC E5-2637 v4 4C 3.5GHZ 1ST;
PRE52637V404C-2;HCIA PROC E5-2637 V4 4C 3.5GHZ 2ND;HCIA PROC E5-2637 v4 4C 3.5GHZ 2ND;
7117433;Oracle Database Appliance X7 memory expa;Oracle Database Appliance X7;
7117433;Oracle Database Appliance X7 memory expa;Oracle MÃ©moire 192Go : 6*32Go;
PRE52680V414C-2;HCIA PROC E5-2680 v4 14C 2.4GHZ 2ND;=>>HCIA PROC E5-2680;
PRE52660V414C-2;EMC. HCIA PROC E5-2660 V4 14C 2.0GHZ 2ND;=>>HCIA PROC E5-2660 V4;
PRE52660V414C20;EMC. HCIA PROC E5-2660 V4 14C 2.0GHZ 1ST;=>>HCIA PROC E5-2660 V4;
PR6142GD16C26AF;VxRail-500 Intel CPU 6142 16C 2.6 GHz AF;VXRAIL-500 INTEL CPU 6142 16C 2;
PR6142GD16C26AF;VxRail-500 Intel CPU 6142 16C 2.6 GHz AF;VXRAIL 500 Flash Drive Array;
PR6142GD16C26AF-2;VxRail-500IntelCPU 6142 16C 2.6 GHz2ndAF;VXRAIL-500INTELCPU 6142 16C 2.6;
INFR-Q287-00-A01;SIDE PANEL IPI VXBLOCK;Side Panel IPI VxBLOCK branded BLK;
INFR-Q287-00-A01;SIDE PANEL IPI VXBLOCK;VCE. Side Panel  IPI  VxBLOCK branded  BLK;
INFR-Q285-00-A01;LED DOOR BRANDING IPI VXBLOCK;LED Door branding IPI VxBLOCK BLK TM;
INFR-Q285-00-A01;LED DOOR BRANDING IPI VXBLOCK;VCE. VxBLOCK 700mm LED front door branding;
DELLE-PR6140GD18C23A;VXRAIL-500 INTEL CPU 6140 18C 2.3 GHZ AF;VXRAIL-500 UNITED KINGDOM SHIPMOD F;
PR6126GD12C26;VXRAIL-500 INTEL CPU 6126 12C 2.6 GHZ H;VXRAIL 500 Xeon Gold/6126/2.6GHz Flash Drive Array;
PR5115GD10C24;VXRAIL-500 INTEL CPU 5115 10C 2.4 GHZ H;VXRAIL-500 INTEL CPU 5115 10C 2.4 G;
7113252;Oracle Server X6-2:1RU base chassis+motherbrd int12Gb SAS RAID HBA 2PSU slide railkit cbl mngmt arm;Oracle Server X6-2: 1 RU base chassis wi;
PR6134GD8C32AF;VxRail-500 Intel CPU 6134 8C 3.2 GHz AF;VXRAIL 500 Flash Drive Array;
PRE52680V414C-2;HCIA PROC E5-2680 v4 14C 2.4GHZ 2ND;=>>HCIA PROC E5-2680;
PR4110SV8C21;VxRail-500 Intel CPU 4110 8C 2.1 GHz H;VXRAIL-500 INTEL CPU 4110 8C 2;
PR4110SV8C21-2;VxRail-500 Intel CPU 4110 8C 2.1GHz2ndH;VXRAIL-500 INTEL CPU 4110 8C 2;
PRE52650V412C22;HCIA PROC E5-2650 v4 12C 2.2GHZ 1ST;=>>HCIA PROC E5-2650 V4;
7117433;Oracle Database Appliance X7 memory expa;Oracle Database Appliance X7;
7117433;Oracle Database Appliance X7 memory expa;Oracle MÃ©moire 192Go : 6*32Go;
PRE52680V414C-2;HCIA PROC E5-2680 V4 14C 2.4GHZ 2ND;=>>HCIA PROC E5-2680;
7117433;Oracle Database Appliance X7 mem expan.;Oracle Database Appliance X7;
7117433;Oracle Database Appliance X7 mem expan.;Oracle MÃ©moire 192Go : 6*32Go;
35M Cache;9.60GT/s QPI;Turbo;1
7117433;Oracle Database Appliance X7 memory expa;Oracle Database Appliance X7;
7117433;Oracle Database Appliance X7 memory expa;Oracle MÃ©moire 192Go : 6*32Go;
PR6140GD18C23;VXRAIL-500 INTEL CPU 6140 18C 2.3 GHZ H;VXRAIL 500 Xeon18C/Gold 6140/2.3GHz Flash Drive Array;
PR6134GD8C32AF;VXRAIL-500 INTEL CPU 6134 8C 3.2 GHZ AF;VXRAIL 500 Flash Drive Array;
PR6134GD8C32AF;VxRail-500 Intel CPU 6134 8C 3.2 GHz AF;VXRAIL 500 Flash Drive Array;
PR5115GD10C24;VXRAIL-500 INTEL CPU 5115 10C 2.4 GHZ H;VXRAIL-500 INTEL CPU 5115 10C 2.4 G;
Q9J75A;OMNISTACK 16-22C;OmniStack 16-22c 1P Small SW/Promo;
Q8D87A;SIMPLIVITY 384G;=>>>HPE SIMPLIVITY 384G 12DIMM FIO;
Q8D87A;SIMPLIVITY 384G;HPE SIMPLIVITY 384G 12 DIMM;
Q8C90A;HPE HPE NS CS700 Hybrid Fld;HPE NS CS700 HYBRID FLD UPGR;
PR4110SV8C21;VxRail-500 Intel CPU 4110 8C 2.1 GHz H;VXRAIL-500 INTEL CPU 4110 8C 2;
PR4110SV8C21-2;VxRail-500 Intel CPU 4110 8C 2.1GHz2ndH;VXRAIL-500 INTEL CPU 4110 8C 2;
804943R-B21;=>>>HPE SY 12000 FRAME 4X REMAN LIF;HPE SY 12000 FRAME 4X REMAN;
798096R-B21;=>>>HPE SYNERGY 12000F 6X 2650W AC;HPE SYNERGY 12000F 6X 2650W AC;
798096R-B21;=>>>HPE SYNERGY 12000F 6X 2650W AC;HPE Synergy 12000F 6x 2650W AC Reman (P);
798096R-B21;=>>>HPE SYNERGY 12000F 6X 2650W AC;HPE SYNERGY 12000F 6X 2650W AC REMAN PS;
798096R-B21;=>>>HPE SYNERGY 12000F 6X 2650W AC;HPE Synergy 12000F 6x 2650W AC Reman PS;
798096R-B21;=>>>HPE SYNERGY 12000F 6X 2650W AC;SYNERGY 12000F 6X 2650W AC PS;
867158-B21;HPE Apollo r2600 Gen10 24 SFF Premium Configure-to;HPE Apollo r2600 Gen10 24 SFF Premium Co;
867158-B21;HPE Apollo r2600 Gen10 24 SFF Premium Configure-to;HPE Apollo r2600 Gen10 24 SFF Premium Configure-to-order Chassis;
798095-B21#0D1;HPE SYNERGY 12000F 2650W AC TI PS FA;HPE SYNERGY 12000F 2650W AC TI PS HP SYN;
798095-B21#0D1;HPE SYNERGY 12000F 2650W AC TI PS FA;SYNERGY 12000F 2650W AC TI PS;
D:PF-VSAN-SOL-ID;Fujitsu PRIMEFLEX FOR VMWARE VSAN SOL ID;FUJITSU VMW VSAN 6.2 ADV for 1 CPU;
D:PF-VSAN-SOL-ID;Fujitsu PRIMEFLEX FOR VMWARE VSAN SOL ID;PRIMEFLEX FOR VMWARE;
D:PF-VSAN-SOL-ID;Fujitsu PRIMEFLEX FOR VMWARE VSAN SOL ID;PRIMEFLEX FOR VMWARE VSAN SOL ID - D:PF-VSAN-SOL-ID;
PR6142GD16C26AF;VXRAIL-500 INTEL CPU 6142 16C 2.6 GHZ AF;VXRAIL-500 INTEL CPU 6142 16C 2;
PR6142GD16C26AF;VXRAIL-500 INTEL CPU 6142 16C 2.6 GHZ AF;VXRAIL 500 Flash Drive Array;
PR6142GD16C26AF-2;VXRAIL-500INTELCPU 6142 16C 2.6 GHZ2NDAF;VXRAIL-500INTELCPU 6142 16C 2.6;
PR6150GD18C27AF;VXRAIL-500 INTEL CPU 6150 18C 2.7 GHZ AF;VXRAIL 500 Xeon/Gold 6150/2.7GHz Flash Drive Array;
Q9J70A;HPE OMNISTACK 8-14C 2P MEDIUM SW/PROMO;HPE OmniStack 8-14c 2P Medium SW/Promo;
MOD;4/V700HT;462976-001;
MOD;4/V700HT;462976-001;
MOD;4/V700HT;462976-001;
MOD;4/V700HT;462976-001;
MOD;4/V700HT;462976-001;
MOD;4/V700HT;462976-001;
MOD;4/V700HT;462976-001;
MOD;4/V700HT;462976-001;
MOD;4/V700HT;462976-001;
MOD;4/V700HT;462976-001;
C8R42A;Swi HP SN6500B C8R42A;HP SN6500B 96/96 POWERPACK+ FC SWITC;
C8R42A;Swi HP SN6500B C8R42A;SN6500B 96/96 PWRPACK+ FCITCH;
Q9J68A;HPE OmniStack 8-14c 2P Small SW/Promo(P);HPE OMNISTACK 8-14C 2P SMALL SW/PROMO;
Q9J68A;HPE OmniStack 8-14c 2P Small SW/Promo(P);HPE OmniStack 8-14c 2P Small SW/Promo;
Q8D03A;NS CS500/700 7.68TB CACHE FLD UPGR;HPE NS CS500/700 7.68TB Cache Fld;
7119677;Oracle Database Appliance X7-2-HA storage enclosure base populated with five 3.2 TB SSDs and four 800 GB SSDs;BTO Exadata X7-2 NIC;
867156-B21;=>>>HPE APOLLO R2200 12LFF GEN10 CT;APOLLO R2200 12LFF GEN10 CHAS;
867156-B21;=>>>HPE APOLLO R2200 12LFF GEN10 CT;HPE Apollo r2200 Gen10 12 LFF Configure-;
874309-B21;=>>>HPE APOLLO 2000 GEN10 SERVER;APOLLO2000 GEN10 SVR NODE BLK;
874309-B21;=>>>HPE APOLLO 2000 GEN10 SERVER;HPE Apollo 2000 Gen10 Server Node Blank;
874309-B21;=>>>HPE APOLLO 2000 GEN10 SERVER;HPE HPE Apollo2000 Gen10 Svr Node Blank;
AT138B;=>>>HPE RX2800 I6 ITANIUM 9750 4C P;RX2800 I6 ITANIUM 9750 4C PR-TC;
PR6134GD8C32AF;VXRAIL-500 INTEL CPU 6134 8C 3.2 GHZ AF;VXRAIL 500 Flash Drive Array;
Q9J70A;=>>>HPE OMNISTACK 8_14C 2P MEDIU SW;HPE OmniStack 8-14c 2P Medium SW/Promo;
Q9J70A;OMNISTACK 8-14C 2P MEDIUM-STOCK;HPE OmniStack 8-14c 2P Medium SW/Promo;
PR6142GD16C26AF;VxRail-500 Intel CPU 6142 16C 2.6 GHz AF;VXRAIL-500 INTEL CPU 6142 16C 2;
PR6142GD16C26AF;VxRail-500 Intel CPU 6142 16C 2.6 GHz AF;VXRAIL 500 Flash Drive Array;
